make,model,car,variant,body_type,fuel_type,fuel_system,type,drivetrain,displacement,cylinders,mileage,power,torque,fuel_tank,height,length,width,doors,seats,wheelbase,airbags,keyless_entry,start/stop,12Vpower,Aux,enginemalf_alarm,immobiliser,highspeed_alert,odometer,speedometer,tripmeter,price,cluster
Tata,Nano Genx,Tata Nano Genx,Xt,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,1,1,1,1,1,0,0.0,Digital,Analog,1,4097,2
Tata,Nano Genx,Tata Nano Genx,Xe,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,0,0,1,0,1,0,0.0,Digital,Analog,1,3310,2
Tata,Nano Genx,Tata Nano Genx,Xta,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,1,1,1,1,1,0,0.0,Digital,Analog,1,4686,2
Tata,Nano Genx,Tata Nano Genx,Xm,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,0,0,1,0,1,0,0.0,Digital,Analog,1,3811,2
Tata,Nano Genx,Tata Nano Genx,Xma,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,0,0,1,0,1,0,0.0,Digital,Analog,1,4407,2
Datsun,Redi-Go,Datsun Redi-Go,D,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,0,0,1,0,1,1,0.0,Digital,Analog,1,3915,2
Datsun,Redi-Go,Datsun Redi-Go,T,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,0,0,1,1,1,1,0.0,Digital,Analog,1,4925,2
Datsun,Redi-Go,Datsun Redi-Go,A,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,0,0,1,0,1,1,0.0,Digital,Analog,1,4667,2
Datsun,Redi-Go,Datsun Redi-Go,S,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,0,0,1,1,1,1,0.0,Digital,Analog,1,5068,2
Datsun,Redi-Go,Datsun Redi-Go,1.0 S,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,22.5,67.07,91,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,0,0,1,1,1,1,0.0,Digital,Analog,1,5460,2
Datsun,Redi-Go,Datsun Redi-Go,1.0 S Amt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,23.0,67.07,91,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,1,0,1,1,1,1,0.0,Digital,Analog,1,6118,2
Renault,Kwid,Renault Kwid,Rxe 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,0,0,0,0,1,1,0.0,Digital,Digital,1,4946,2
Renault,Kwid,Renault Kwid,Std 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2442.0,1,0,0,0,0,1,0,0.0,Digital,Digital,1,3966,2
Renault,Kwid,Renault Kwid,Rxl 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,0,0,1,1,1,1,0.0,Digital,Digital,1,5366,2
Renault,Kwid,Renault Kwid,Rxt 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1580.0,5,5,2422.0,1,0,0,1,1,1,1,0.0,Digital,Digital,1,5786,2
Renault,Kwid,Renault Kwid,Rxt 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,1,0,1,1,1,1,0.0,Digital,Digital,1,6066,2
Renault,Kwid,Renault Kwid,Climber 1.0 Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,1,0,1,1,1,1,0.0,Digital,Digital,1,6362,2
Renault,Kwid,Renault Kwid,Rxt Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,1,0,1,1,1,1,0.0,Digital,Digital,1,6486,2
Renault,Kwid,Renault Kwid,Climber Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,1,0,1,1,1,1,0.0,Digital,Digital,1,6782,2
Renault,Kwid,Renault Kwid,Rxt (O) 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,1,0,1,1,1,1,0.0,Digital,Digital,1,6173,2
Renault,Kwid,Renault Kwid,Rxt (O) Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,1,0,1,1,1,1,0.0,Digital,Digital,1,6593,2
Renault,Kwid,Renault Kwid,Climber (O) Mt 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,1,0,1,1,1,1,0.0,Digital,Digital,1,6470,2
Renault,Kwid,Renault Kwid,Climber (O) Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,1,0,1,1,1,1,0.0,Digital,Digital,1,6890,2
Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str,MPV,Petrol,Injection,Manual,RWD (Rear Wheel Drive),1196,4,15.0,72.0,101,40.0,1800.0,3675.0,1475.0,5,5,2350.0,1,0,0,0,0,1,0,1.0,Digital,Analog,1,4929,2
Maruti Suzuki,Eeco,Maruti Suzuki Eeco,7 Str,MPV,Petrol,Injection,Manual,FWD (Front Wheel Drive),1196,4,15.0,72.99,101,40.0,1800.0,3675.0,1475.0,5,7,2350.0,1,0,0,0,0,1,0,1.0,Digital,Analog,1,5328,2
Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str With Ac+Htr,MPV,Petrol,Injection,Manual,RWD (Rear Wheel Drive),1196,4,15.0,72.0,101,40.0,1800.0,3675.0,1475.0,5,5,2350.0,0,0,0,0,0,1,0,0.0,Digital,Analog,1,5501,2
Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Lxi,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1475.0,3545.0,1490.0,5,5,2360.0,1,0,0,0,0,1,1,0.0,Digital,Analog,1,5286,2
